Sekunden;Gas;Aussen;Kessel;Wasser;Relais;Programm;;Status;;;Tag
1768967708;6225,89;-3,25;80,0;46,5;0x94;0x11;;0x05;;;0x84
1768967714;6225,89;-3,25;79,5;47,0;0x94;0x11;;0x05;;;0x84
1768967726;6225,89;-3,25;79,5;47,5;0x94;0x11;;0x05;;;0x84
1768967729;6225,89;-3,25;79,0;47,5;0x94;0x11;;0x05;;;0x84
1768967745;6225,89;-3,25;78,5;47,5;0x94;0x11;;0x05;;;0x84
1768967755;6225,89;-3,25;78,0;47,5;0x94;0x11;;0x05;;;0x84
1768967765;6225,89;-3,25;77,5;48,0;0x94;0x11;;0x05;;;0x84
1768967774;6225,89;-3,25;77,0;48,0;0x94;0x11;;0x05;;;0x84
1768967784;6225,89;-3,25;76,5;48,0;0x94;0x11;;0x05;;;0x84
1768967790;6225,89;-3,25;76,5;48,5;0x94;0x11;;0x05;;;0x84
1768967792;6225,89;-3,25;76,0;48,5;0x94;0x11;;0x05;;;0x84
1768967802;6225,89;-3,25;75,5;48,5;0x94;0x11;;0x05;;;0x84
1768967812;6225,89;-3,25;75,0;48,5;0x94;0x11;;0x05;;;0x84
1768967816;6225,89;-3,25;75,0;49,0;0x94;0x11;;0x05;;;0x84
1768967821;6225,89;-3,25;74,5;49,0;0x94;0x11;;0x05;;;0x84
1768967833;6225,89;-3,25;74,0;49,0;0x94;0x11;;0x05;;;0x84
1768967841;6225,89;-3,25;73,5;49,5;0x94;0x11;;0x05;;;0x84
1768967850;6225,89;-3,25;73,0;49,5;0x94;0x11;;0x05;;;0x84
1768967860;6225,89;-3,25;72,5;49,5;0x94;0x11;;0x05;;;0x84
1768967868;6225,89;-3,25;72,0;49,5;0x94;0x11;;0x05;;;0x84
1768967878;6225,89;-3,25;71,5;49,5;0x94;0x11;;0x05;;;0x84
1768967880;6225,89;-3,25;71,5;50,0;0x94;0x11;;0x05;;;0x84
1768967887;6225,89;-3,25;71,0;50,0;0x94;0x11;;0x05;;;0x84
1768967897;6225,89;-3,25;70,5;50,0;0x94;0x11;;0x05;;;0x84
1768967906;6225,89;-3,25;70,5;50,5;0x94;0x11;;0x05;;;0x84
1768967907;6225,89;-3,25;70,0;50,5;0x94;0x11;;0x05;;;0x84
1768967916;6225,89;-3,25;69,5;50,5;0x94;0x11;;0x05;;;0x84
1768967929;6225,89;-3,25;69,0;50,5;0x94;0x11;;0x05;;;0x84
1768967931;6225,89;-3,25;69,0;51,0;0x94;0x11;;0x05;;;0x84
1768967939;6225,89;-3,25;68,5;51,0;0x94;0x11;;0x05;;;0x84
